"Data","DataType","PostID","_type"
"68000","BaseSalary","442223","AjaxItem"
"academic SDE","Title","442223","AjaxItem"
"25%","YearlyBonus","441744","AjaxItem"
"50k","SignBonus","441744","AjaxItem"
"68k一年","Equity","441744","AjaxItem"
"180k","BaseSalary","441744","AjaxItem"
"SR SWE","Title","441744","AjaxItem"
"25k","YearlyBonus","442542","AjaxItem"
"10k","SignBonus","442542","AjaxItem"
"NA","Equity","442542","AjaxItem"
"105k","BaseSalary","442542","AjaxItem"
"Analyst","Title","442542","AjaxItem"
"??","YearlyBonus","440725","AjaxItem"
"3.4k+2k","SignBonus","440725","AjaxItem"
"70k","Equity","440725","AjaxItem"
"108k","BaseSalary","440725","AjaxItem"
"sde1","Title","440725","AjaxItem"
"none","YearlyBonus","440755","AjaxItem"
"32,000 + 25,000","SignBonus","440755","AjaxItem"
"40","Equity","440755","AjaxItem"
"120,000","BaseSalary","440755","AjaxItem"
"SDE 1","Title","440755","AjaxItem"
"10%","YearlyBonus","332549","AjaxItem"
"0","SignBonus","332549","AjaxItem"
"40000","Equity","332549","AjaxItem"
"135000","BaseSalary","332549","AjaxItem"
"up to 20%","YearlyBonus","442859","AjaxItem"
"Mid-level","Title","332549","AjaxItem"
"0","YearlyBonus","425703","AjaxItem"
"50000","SignBonus","425703","AjaxItem"
"500000","Equity","425703","AjaxItem"
"180000","BaseSalary","425703","AjaxItem"
"Software Engineer, Data","Title","425703","AjaxItem"
"20k","SignBonus","441722","AjaxItem"
"0-20%","YearlyBonus","441722","AjaxItem"
"40k","Equity","441722","AjaxItem"
"122.5k","BaseSalary","441722","AjaxItem"
"software engineer","Title","441722","AjaxItem"
"0-20%","YearlyBonus","442706","AjaxItem"
"15","SignBonus","442706","AjaxItem"
"25K","Equity","442706","AjaxItem"
"122K","BaseSalary","442706","AjaxItem"
"software engineer","Title","442706","AjaxItem"
"15%","YearlyBonus","206911","AjaxItem"
"50k","SignBonus","206911","AjaxItem"
"10%","YearlyBonus","439772","AjaxItem"
"75k","SignBonus","439772","AjaxItem"
"320k","Equity","439772","AjaxItem"
"150k","BaseSalary","439772","AjaxItem"
"Research Scientist","Title","439772","AjaxItem"
"NA","YearlyBonus","315080","AjaxItem"
"55K","SignBonus","315080","AjaxItem"
"50 shares","Equity","315080","AjaxItem"
"130K","BaseSalary","315080","AjaxItem"
"SDE","Title","315080","AjaxItem"
"N/A","YearlyBonus","403144","AjaxItem"
"5k","SignBonus","403144","AjaxItem"
"3000 shares","Equity","403144","AjaxItem"
"100k","BaseSalary","403144","AjaxItem"
"SDE II","Title","403144","AjaxItem"
"-","YearlyBonus","290964","AjaxItem"
"84000, 66000","SignBonus","290964","AjaxItem"
"200000","Equity","290964","AjaxItem"
"150000","BaseSalary","290964","AjaxItem"
"16%","YearlyBonus","441239","AjaxItem"
"25k","SignBonus","441239","AjaxItem"
"20000 / year","Equity","441239","AjaxItem"
"135k","BaseSalary","441239","AjaxItem"
"Software Engineer","Title","441239","AjaxItem"
"not mentioned","YearlyBonus","438956","AjaxItem"
"24k + 20k 分两年","SignBonus","438956","AjaxItem"
"5% 15% 20% 20%","Equity","438956","AjaxItem"
"108k","BaseSalary","438956","AjaxItem"
"Software Development Engineer","Title","438956","AjaxItem"
"up to 50k","YearlyBonus","441419","AjaxItem"
"n/a","SignBonus","441419","AjaxItem"
"450k","Equity","441419","AjaxItem"
"160k","BaseSalary","441419","AjaxItem"
"3","Title","441419","AjaxItem"
"NA","YearlyBonus","441219","AjaxItem"
"[hide=120]34k + 20k[/hide]","SignBonus","441219","AjaxItem"
"[hide=120]70k[/hide]","Equity","441219","AjaxItem"
"[hide=120]108k[/hide]","BaseSalary","441219","AjaxItem"
"SDE","Title","441219","AjaxItem"
"20%","YearlyBonus","441031","AjaxItem"
"15%","YearlyBonus","266216","AjaxItem"
"50K*1","SignBonus","266216","AjaxItem"
"375","Equity","266216","AjaxItem"
"165k","BaseSalary","266216","AjaxItem"
"T4","Title","266216","AjaxItem"
"年底三薪","YearlyBonus","439776","AjaxItem"
"10+w RMB","SignBonus","439776","AjaxItem"
"130-140w  RMB","BaseSalary","439776","AjaxItem"
"60w USD / 6 yrs. ~10w USD/yr","Equity","439776","AjaxItem"
"9","Title","439776","AjaxItem"
"10%","YearlyBonus","308451","AjaxItem"
"10k","SignBonus","308451","AjaxItem"
"蜜汁equity","Equity","308451","AjaxItem"
"100k","BaseSalary","308451","AjaxItem"
"new grad","Title","308451","AjaxItem"
"0-20%","YearlyBonus","437313","AjaxItem"
"25K/2y","SignBonus","437313","AjaxItem"
"50K/4y","Equity","437313","AjaxItem"
"125K","BaseSalary","437313","AjaxItem"
"Software Engineer","Title","437313","AjaxItem"
"10%","YearlyBonus","430037","AjaxItem"
"15000","SignBonus","430037","AjaxItem"
"5000股/127000刀（目前每股25刀）","Equity","430037","AjaxItem"
"131600","BaseSalary","430037","AjaxItem"
"entry level","Title","430037","AjaxItem"
"20%","YearlyBonus","331905","AjaxItem"
"20K","SignBonus","331905","AjaxItem"
"30% (raise + bonus, 4 year average)","YearlyBonus","439850","AjaxItem"
"not sure","SignBonus","439850","AjaxItem"
"1%","Equity","439850","AjaxItem"
"150k","BaseSalary","439850","AjaxItem"
"Mobile team lead","Title","439850","AjaxItem"
"16.7-50%","YearlyBonus","438255","AjaxItem"
"20k","SignBonus","438255","AjaxItem"
"275k","Equity","438255","AjaxItem"
"150k","BaseSalary","438255","AjaxItem"
"DS","Title","438255","AjaxItem"
"N/A","YearlyBonus","438332","AjaxItem"
"25k/21k","SignBonus","438332","AjaxItem"
"41","Equity","438332","AjaxItem"
"118K","BaseSalary","438332","AjaxItem"
"Sde1","Title","438332","AjaxItem"
"no","SignBonus","309447","AjaxItem"
"no","Equity","309447","AjaxItem"
"80k","BaseSalary","309447","AjaxItem"
"no","YearlyBonus","309447","AjaxItem"
"Big Data Engineer","Title","309447","AjaxItem"
"15%","YearlyBonus","368078","AjaxItem"
"50K","SignBonus","368078","AjaxItem"
"850K","Equity","368078","AjaxItem"
"没说","YearlyBonus","425887","AjaxItem"
"没说","SignBonus","425887","AjaxItem"
"34000 shares","Equity","425887","AjaxItem"
"138000","BaseSalary","425887","AjaxItem"
"Data Scientist","Title","425887","AjaxItem"
"10%-20%","YearlyBonus","429957","AjaxItem"
"50000","SignBonus","429957","AjaxItem"
"150000","Equity","429957","AjaxItem"
"130000","BaseSalary","429957","AjaxItem"
"/","Title","429957","AjaxItem"
"15%","YearlyBonus","439812","AjaxItem"
"20k","SignBonus","439812","AjaxItem"
"315k","Equity","439812","AjaxItem"
"137k","BaseSalary","439812","AjaxItem"
"T3","Title","439812","AjaxItem"
"10%","YearlyBonus","439922","AjaxItem"
"0","SignBonus","439922","AjaxItem"
"200k","Equity","439922","AjaxItem"
"140k","BaseSalary","439922","AjaxItem"
"软件工程师","Title","439922","AjaxItem"
"20%","YearlyBonus","389676","AjaxItem"
"10k","SignBonus","389676","AjaxItem"
"36k","Equity","389676","AjaxItem"
"115k","BaseSalary","389676","AjaxItem"
"还没问","Title","389676","AjaxItem"
"10%","YearlyBonus","428777","AjaxItem"
"100k","SignBonus","428777","AjaxItem"
"400k","Equity","428777","AjaxItem"
"155k","BaseSalary","428777","AjaxItem"
"e4","Title","428777","AjaxItem"
"15%","YearlyBonus","319147","AjaxItem"
"-","SignBonus","319147","AjaxItem"
"100K","Equity","319147","AjaxItem"
"120K","BaseSalary","319147","AjaxItem"
"Software Engineer","Title","319147","AjaxItem"
"N/A","YearlyBonus","392294","AjaxItem"
"10k","SignBonus","392294","AjaxItem"
"3200","Equity","392294","AjaxItem"
"180000","BaseSalary","392294","AjaxItem"
"Staff Engineer","Title","392294","AjaxItem"
"20% + 6k stocks","YearlyBonus","217902","AjaxItem"
"7.5k","SignBonus","217902","AjaxItem"
"0","YearlyBonus","438869","AjaxItem"
"10000","SignBonus","438869","AjaxItem"
"27000","Equity","438869","AjaxItem"
"140000","BaseSalary","438869","AjaxItem"
"E2","Title","438869","AjaxItem"
"5%","YearlyBonus","438545","AjaxItem"
"10000","SignBonus","438545","AjaxItem"
"non","Equity","438545","AjaxItem"
"125000","BaseSalary","438545","AjaxItem"
"SDE","Title","438545","AjaxItem"
"Performance based","YearlyBonus","316139","AjaxItem"
"did not negociate","SignBonus","316139","AjaxItem"
"0","Equity","316139","AjaxItem"
"145","BaseSalary","316139","AjaxItem"
"他们说Title随意","Title","316139","AjaxItem"
"不清楚","YearlyBonus","438952","AjaxItem"
"不清楚","SignBonus","438952","AjaxItem"
"不清楚","Equity","438952","AjaxItem"
"107,905.97","BaseSalary","438952","AjaxItem"
"Product Development Engineer","Title","438952","AjaxItem"
"10%","YearlyBonus","439001","AjaxItem"
"15000","SignBonus","439001","AjaxItem"
"1-2W","YearlyBonus","179818","AjaxItem"
"N/A","SignBonus","179818","AjaxItem"
"N/A","Equity","179818","AjaxItem"
"60000","BaseSalary","179818","AjaxItem"
"Data Scientist","Title","179818","AjaxItem"
"10%","YearlyBonus","408907","AjaxItem"
"15K","SignBonus","408907","AjaxItem"
"3300","Equity","408907","AjaxItem"
"135K","BaseSalary","408907","AjaxItem"
"SDEI","Title","408907","AjaxItem"
"0","YearlyBonus","438535","AjaxItem"
"50K","SignBonus","438535","AjaxItem"
"1000 (~$257K)","Equity","438535","AjaxItem"
"205000","BaseSalary","438535","AjaxItem"
"IC5?","Title","438535","AjaxItem"
"10%","YearlyBonus","437755","AjaxItem"
"65k","SignBonus","437755","AjaxItem"
"160k","Equity","437755","AjaxItem"
"115k","BaseSalary","437755","AjaxItem"
"New grad","Title","437755","AjaxItem"
"10k","SignBonus","437463","AjaxItem"
"not sure","YearlyBonus","437463","AjaxItem"
"17k share ~ 442k","Equity","437463","AjaxItem"
"200k","BaseSalary","437463","AjaxItem"
"Sr Software Engineer","Title","437463","AjaxItem"
"不知道","YearlyBonus","434035","AjaxItem"
"0","SignBonus","434035","AjaxItem"
"4000RSU","Equity","434035","AjaxItem"
"16.5W","BaseSalary","434035","AjaxItem"
"Senior Software Engineer","Title","434035","AjaxItem"
"no idea","YearlyBonus","335119","AjaxItem"
"no idea","SignBonus","335119","AjaxItem"
"90k","Equity","335119","AjaxItem"
"110k","BaseSalary","335119","AjaxItem"
"3","Title","335119","AjaxItem"
"15%","YearlyBonus","425527","AjaxItem"
"50k","SignBonus","425527","AjaxItem"
"550k","Equity","425527","AjaxItem"
"190k","BaseSalary","425527","AjaxItem"
"10%","YearlyBonus","437716","AjaxItem"
"50000","SignBonus","437716","AjaxItem"
"300000","Equity","437716","AjaxItem"
"155000","BaseSalary","437716","AjaxItem"
"4","Title","437716","AjaxItem"
"15%","YearlyBonus","436729","AjaxItem"
"15k","SignBonus","436729","AjaxItem"
"60k","Equity","436729","AjaxItem"
"150k","BaseSalary","436729","AjaxItem"
"Senior Software Engineer (iOS/Android)","Title","436729","AjaxItem"
"N/A","YearlyBonus","437523","AjaxItem"
"34000+20000","SignBonus","437523","AjaxItem"
"70000","Equity","437523","AjaxItem"
"108000","BaseSalary","437523","AjaxItem"
"SDE 1","Title","437523","AjaxItem"
"N/A","YearlyBonus","425504","AjaxItem"
"39k/33.5k","SignBonus","425504","AjaxItem"
"71.5k","Equity","425504","AjaxItem"
"123k","BaseSalary","425504","AjaxItem"
"N/A","YearlyBonus","424289","AjaxItem"
"120000","SignBonus","424289","AjaxItem"
"160000","Equity","424289","AjaxItem"
"125000","BaseSalary","424289","AjaxItem"
"SDE II","Title","424289","AjaxItem"
"15%","YearlyBonus","293785","AjaxItem"
"0","SignBonus","293785","AjaxItem"
"280000","Equity","293785","AjaxItem"
"130000","BaseSalary","293785","AjaxItem"
"SWE","Title","293785","AjaxItem"
"n/a","YearlyBonus","436237","AjaxItem"
"230k","SignBonus","436237","AjaxItem"
"185","Equity","436237","AjaxItem"
"170k","BaseSalary","436237","AjaxItem"
"sde II","Title","436237","AjaxItem"
"15%","YearlyBonus","436179","AjaxItem"
"40000","SignBonus","436179","AjaxItem"
